,missing_ratio
flag,0.9868885526979324
location,0.8527483610690872
ax_t1c__age,0.6979324256177509
ax_t1__sex,0.6979324256177509
ax_t1c__sex,0.6979324256177509
ax_t2__sex,0.6979324256177509
ax_t2__age,0.6979324256177509
ax_t1__age,0.6979324256177509
ax_t2f__age,0.6979324256177509
Age_y,0.6979324256177509
ax_t2f__sex,0.6979324256177509
Sex_x,0.6959152798789713
Age_x,0.6959152798789713
ax_t2f__rad_glcm_JointEntropy,0.3610690872415532
ax_t2f__rad_firstorder_Mean,0.3610690872415532
ax_t2f__rad_firstorder_Entropy,0.3610690872415532
ax_t2f__rad_firstorder_90Percentile,0.3610690872415532
ax_t2f__rad_glcm_Contrast,0.3610690872415532
ax_t1c__rad_firstorder_Mean,0.31265758951084216
ax_t1c__rad_glcm_JointEntropy,0.31265758951084216
ax_t1c__rad_glcm_Contrast,0.31265758951084216
ax_t1c__rad_firstorder_90Percentile,0.31265758951084216
ax_t1c__rad_firstorder_Entropy,0.31265758951084216
ax_t2__rad_firstorder_90Percentile,0.30912758446797783
ax_t2__rad_firstorder_Entropy,0.30912758446797783
ax_t2__rad_firstorder_Mean,0.30912758446797783
ax_t2__rad_glcm_JointEntropy,0.30912758446797783
ax_t2__rad_glcm_Contrast,0.30912758446797783
ax_t1__rad_glcm_JointEntropy,0.0005042864346949068
ax_t1__rad_glcm_Contrast,0.0005042864346949068
ax_t1__rad_firstorder_90Percentile,0.0005042864346949068
ax_t1__rad_firstorder_Entropy,0.0005042864346949068
ax_t1__rad_firstorder_Mean,0.0005042864346949068
ax_t1c__modality,0.0
Tumor Location,0.0
Overall_class,0.0
report,0.0
available_modalities,0.0
image_path,0.0
ax_t2f__modality,0.0
Sex_y,0.0
Signal Intensity (T2),0.0
Signal Intensity (T1),0.0
Signal Intensity (T1c),0.0
modality,0.0
Signal Intensity (T2-FLAIR),0.0
raw_report,0.0
ax_t2__modality,0.0
ax_t1__modality,0.0
case_id,0.0
